,code,area,inner_outer,population,unemployment,active_business,crime,house_price,council_tax,council_rental,greenspace,carbon_emmision,cars,pub_transport,achievement,life,happiness,anxiety,political,coordi
10,E09000011,Greenwich,Outer London,58.8,8.1,8975,79.4,317000,1276,34.2,34.4,1004.5,78185,3.4,58.8,7.2,7.2,3.4,Lab,"[[51.4821, -0.0045], [51.477863, -0.0015019999999999999]]"
11,E09000012,Hackney,Inner London,141.1,5.9,16095,99.6,433000,1293,45.4,23.2,877.8,41800,4.9,60.6,7.03,6.99,3.76,Lab,"[[51.5434, -0.0277], [51.5476, -0.0558]]"
12,E09000013,Hammersmith and Fulham,Inner London,111.8,4.7,13465,113.2,661000,1023,25.9,19.1,971.3,43843,4.7,60.5,7.41,7.16,3.09,Lab,"[[51.492212, -0.232215], [51.494638, -0.223779]]"
13,E09000014,Haringey,Inner London,92.7,5.7,11875,90.2,405000,1479,33.4,25.5,891.6,61515,4.3,59.7,7.24,7.19,3.18,Lab,"[[51.600057, -0.111493], [51.606113, -0.072785]]"
14,E09000015,Harrow,Outer London,49.8,4.6,14000,50.4,370000,1529,8.9,34.6,837.7,100326,2.9,66.4,7.33,7.31,2.71,Lab,"[[51.5836, -0.3464], [51.6048, -0.3405]]"
15,E09000016,Havering,Outer London,22.3,5.3,9445,62.9,250000,1514,17.2,59.3,1161.2,117634,2.5,59.8,7.39,7.21,3.28,No Overall Control,"[[51.6156, 0.1861], [51.5609015, 0.232802]]"
16,E09000017,Hillingdon,Outer London,25.8,5.8,12485,76.6,307000,1408,16.6,49.2,1998.4,122486,2.4,62.0,7.37,7.28,3.47,Cons,"[[51.54, -0.45], [51.5259435, -0.4610965]]"
17,E09000018,Hounslow,Outer London,48.9,4.3,13035,79.2,319950,1375,19.2,39.6,1420.7,94042,3.0,63.2,7.31,7.4,3.39,Lab,"[[51.4668, -0.3507], [51.4686, -0.3613]]"
18,E09000019,Islington,Inner London,153.0,4.5,18710,121.2,530000,1276,35.3,12.4,1052.1,38629,5.7,59.9,7.17,7.06,3.7,Lab,"[[51.526574499999995, -0.104325], [51.533414, -0.1103505]]"
19,E09000020,Kensington and Chelsea,Inner London,129.2,4.2,13635,120.9,1195000,1078,29.1,15.1,1236.0,44536,5.8,68.7,7.61,7.56,3.1,Cons,"[[51.502201, -0.195075], [51.4819495, -0.1854355]]"
20,E09000021,Kingston upon Thames,Outer London,46.3,4.5,8520,58.5,385000,1675,10.7,36.4,752.4,70421,2.9,68.6,7.34,7.41,3.29,Cons,"[[51.4103, -0.2995], [51.4084, -0.30596999999999996]]"
21,E09000022,Lambeth,Inner London,121.4,5.9,20900,104.6,420000,1239,29.8,17.3,1257.3,66791,5.0,57.1,7.14,7.2,3.53,Lab,"[[51.495269, -0.12013599999999999], [51.4944735, -0.1222895]]"
22,E09000023,Lewisham,Inner London,84.7,5.7,9625,77,315000,1355,28.1,22.5,930.3,76507,4.1,56.3,7.18,7.26,3.43,Lab,"[[51.4624, -0.0101], [51.4619225, -0.011793000000000001]]"
23,E09000024,Merton,Outer London,55.7,4.6,11225,59.7,385000,1401,16.2,34.6,844.6,72777,3.4,67.8,7.28,7.13,3.56,Lab,"[[51.408, -0.202], [51.393378, -0.206884]]"
24,E09000025,Newham,Inner London,93.5,9.1,9645,90.8,250000,1241,31.4,23.9,1441.6,61092,3.9,55.7,7.12,7.18,3.37,Lab,"[[51.523139, 0.034301], [51.53961, 0.045559]]"
25,E09000026,Redbridge,Outer London,53.3,7.9,13160,69.7,301500,1391,11.3,40.6,963.5,106339,3.0,68.7,7.32,7.3,3.2,Lab,"[[51.605996, 0.116913], [51.576359, 0.045425]]"
26,E09000027,Richmond upon Thames,Outer London,34.3,3.8,13650,56.3,535000,1582,8.7,50.8,880.9,84918,3.1,70.5,7.54,7.33,3.2,Cons,"[[51.456, -0.301], [51.480883, -0.281164]]"
27,E09000028,Southwark,Inner London,108.2,7.7,15860,100.6,420000,1207,37.2,24.9,1454.5,60438,4.9,61.2,7.47,7.31,3.42,Lab,"[[51.506287, -0.08984500000000001], [51.509111000000004, -0.0941365]]"
28,E09000029,Sutton,Outer London,46.1,5.5,8155,55.9,285000,1459,11.6,32.0,774.4,91266,2.9,67.4,7.46,7.26,3.22,Lib Dem,"[[51.366136, -0.17636]]"
29,E09000030,Tower Hamlets,Inner London,149.8,9.2,16545,99.9,383000,1181,41.6,15.2,1948.3,43589,5.0,59.2,7.22,7.2,3.26,Tower Hamlets First,"[[51.5087275, -0.017202500000000003], [51.528168, -0.019697]]"
30,E09000031,Waltham Forest,Outer London,71.1,5.4,9875,78,320000,1447,19.9,31.4,850.5,76217,3.6,58.3,7.19,7.12,3.14,Lab,"[[51.579011, -0.011032], [51.66353, -7.3e-05]]"
31,E09000032,Wandsworth,Inner London,93.8,5.7,17445,72.6,532500,683,19.3,26.9,1162.6,89513,4.3,63.0,7.37,7.37,3.59,Cons,"[[51.4497, -0.1692], [51.4647385, -0.18784499999999998]]"
32,E09000033,Westminster,Inner London,110.4,8.8,53160,212.4,875000,674,27.8,38.2,3048.4,48810,6.5,65.7,7.25,7.13,3.43,Cons,"[[51.496300000000005, -0.13978049999999997], [51.499459531250004, -0.1239135625]]"
